video_id,title,published_date,description,publish_date,year,title_length
hbVWoUfk8lo,What is the future of Software Engineering in next 5 years?,2024-08-23 16:30:12+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : linktr.ee/apnacollege.in Shradha Ma'am ...,2024-08-23,2024,59
sXSYTUqFGVQ,How to start Coding in 1st Year? for College Students | Tech Internship/Placement,2024-05-27 16:36:20+00:00,Hope this session helps you in your career! Complete C Language Tutorial ...,2024-05-27,2024,81
64N1nNk0WuQ,Tier 3 to Off Campus Google &amp; Microsoft | How did this student crack both Internships?,2024-04-27 17:04:45+00:00,"Shreya is our Alpha & Delta student. Coming from a Tier3 college, she has worked hard to crack these internships & her ...",2024-04-27,2024,90
ns3ASWcTlvA,Bringing Complete Placement Course  : C++ &amp; Data Structures &amp; Algorithms  | in 4 Months,2024-03-21 15:49:26+00:00,New C++ & DSA Batch : https://www.apnacollege.in/course/cpp-dsa Early Bird Offer for first 5000 students (In case of hight ...,2024-03-21,2024,95
vn7zRpvPShc,What to do if not getting job? Jobless in Tech - Take time &amp; Aim for the Top 5%,2024-01-30 16:33:19+00:00,Sigma Placement Feb'24 Batch (Development + DSA) : https://www.apnacollege.in/course/sigma-feb24 For International ...,2024-01-30,2024,83
WIdfNbS7OOg,Launching New Complete Placement Cohort ❤️| Web Development + Complete DSA | New SIGMA Batch,2024-01-27 16:38:32+00:00,Save time & study only what's needed for Placements New Sigma 6.0 Link : https://www.apnacollege.in/course/sigma-6 ...,2024-01-27,2024,92
FgrBGt5N3eM,5 Best Websites to find Jobs and Internships in 2024 | Software Engineering,2024-01-07 14:56:18+00:00,These are the platforms we covered : 1. Linkedin : https://www.linkedin.com/ 2. Wellfound 3. Naukri 4. Indeed 5.,2024-01-07,2024,75
98328Yc056E,Complete DSA for Placement Preparation in 4 Months | Alpha Plus 2.0  - New Winter Batch,2023-12-17 15:37:35+00:00,"Hi, you can start Placement Preparation with me in Alpha Plus Alpha Plus 2.0 (DSA Winter Batch) ...",2023-12-17,2023,87
y3R9e2L8I9E,How to make Ultimate Resume ? Step by step guide for Software Engineers,2023-11-15 16:42:57+00:00,Resume Template Link : https://drive.google.com/drive/folders/1wfNTKinBAV6CCxaI5lfSnnRFAYpy0uEl?usp=share_link If you ...,2023-11-15,2023,71
icudf_w_pqU,How to Improve English Speaking for Interviews ? 5 Easy Tips,2023-09-20 17:28:37+00:00,"Hi, if you want to learn Complete Full Stack Development from me then you can study from Delta 2.0 (Full Stack Web ...",2023-09-20,2023,60
W_pc29_PJYw,Interview Question | C Programming Language,2023-09-19 15:09:41+00:00,,2023-09-19,2023,43
5RxMZen9EDU,Aptitude Question Round | TCS,2023-09-14 16:07:49+00:00,shorts.,2023-09-14,2023,29
Ez8F0nW6S-w,Complete Git and GitHub Tutorial for Beginners,2023-08-24 16:49:21+00:00,Link for GitHub Notes : https://drive.google.com/drive/folders/1wfNTKinBAV6CCxaI5lfSnnRFAYpy0uEl?usp=share_link Want to ...,2023-08-24,2023,46
hlGoQC332VM,SQL - Complete Course in 3 Hours | SQL One Shot using MySQL,2023-08-18 17:38:13+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2023-08-18,2023,59
L_VzAelqVew,How I would Code if I get back in 1st year of College? Software Development Placement | RoadMap,2023-07-08 17:28:10+00:00,DSA Batch (Latest) : https://www.apnacollege.in/course/alpha-batch-5 Development Batch (Latest) ...,2023-07-08,2023,95
ESnrn1kAD4E,"CSS Tutorial for Beginners | Complete CSS with Project, Notes &amp; Code",2023-06-04 16:32:22+00:00,Notes - https://drive.google.com/drive/folders/1wfNTKinBAV6CCxaI5lfSnnRFAYpy0uEl?usp=share_link You can join the NEW ...,2023-06-04,2023,72
TdDhFGQXxkY,How to become a UI UX Designer?,2023-05-11 15:31:17+00:00,shorts Alpha 4.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-4 ...,2023-05-11,2023,31
bj3rCZKbLgY,Should you do BCA in 2024? All about BCA,2023-04-16 10:42:39+00:00,You can Learn Website Development in 4.5 Months with us. Delta 3.0(Full Stack Web Development) ...,2023-04-16,2023,40
42ZrKGaP3Rs,One Thing to Increase your Confidence,2023-04-14 15:47:11+00:00,shorts Alpha 4.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-4 ...,2023-04-14,2023,37
1g3kYtJf6Tw,Java or C++ or Python | Which language is best for Placements?,2023-04-10 17:52:01+00:00,Alpha 4.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-4 ...,2023-04-10,2023,62
SZmHoyikiYc,How did he got Internship at Google International in First year? Alpha 1.0 student,2023-03-31 14:37:30+00:00,Alpha 5.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-5 ...,2023-03-31,2023,82
lCTh5iCTBec,How to Score More in College Exams? 5 Mistakes to avoid,2023-03-21 16:53:37+00:00,Join the Telegram Channel   : https://telegram.me/+k4rdgTPwmm5kMGVl ------------------------------------------------------ Alpha 3.0 ...,2023-03-21,2023,55
N_iuN37-uuQ,Software Engineer without BTech? | NetApp - Student Interview,2023-03-04 14:32:33+00:00,Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,2023-03-04,2023,61
7YRkQugpp3U,NIT Trichy College Review InShort,2023-02-17 17:43:35+00:00,shorts Alpha 3.0 Placement Batch (Java+DSA) : https://www.apnacollege.in/course/alpha-batch-3 ...,2023-02-17,2023,33
gO-qIeaPitk,Meeting my College Juniors❤️,2023-02-12 13:38:07+00:00,,2023-02-12,2023,28
59fUtYYz7ZU,Graph Data Structure | Tutorial for Graphs in Data Structures,2023-01-13 15:27:29+00:00,FREE Notes + Assignment : https://drive.google.com/drive/folders/1wfNTKinBAV6CCxaI5lfSnnRFAYpy0uEl?usp=share_link ...,2023-01-13,2023,61
oOHjhoDWOpE,True Package of Amazon SDE1 | Software Engineer,2022-12-21 17:37:48+00:00,Are you worried about placements/internships? Join ALPHA. Alpha 2.0 Placement Batch (Java+DSA) ...,2022-12-21,2022,47
dLQywM7uHUE,How to apply for Off-campus Internships? For College Students,2022-12-14 17:14:54+00:00,Are you worried about placements/internships? Join ALPHA. Alpha 2.0 Placement Batch (Java+DSA) ...,2022-12-14,2022,61
Eq9evcrYN1w,Puzzles for Software Engineers | #21,2022-12-10 15:09:57+00:00,shorts Are you worried about placements/internships? Join ALPHA. Alpha 2.0 Placement Batch (Java+DSA) ...,2022-12-10,2022,36
IF4HjQYl5jM,Off-campus Placements/ Internships | 3 Secret Sauces!,2022-12-09 16:11:38+00:00,Are you worried about placements/internships? Join ALPHA. Alpha 2.0 Placement Batch (Java+DSA) ...,2022-12-09,2022,53
ffuK6vt8tdY,What to do in College 3rd year? | Software Engineering Roadmap,2022-11-24 14:53:40+00:00,Are you worried about placements/internships? Join ALPHA. Alpha 2.0 Placement Batch (Java+DSA) ...,2022-11-24,2022,62
dIuSKJniwEM,Puzzles for Software Engineers | Apple #14,2022-11-22 13:40:15+00:00,"shorts Are you worried about placements/internships? Want to prepare for companies like Microsoft, Amazon & Google?",2022-11-22,2022,42
nnsrwPu-MWo,Coding Technologies to learn in College🔥,2022-11-19 16:12:11+00:00,Are you worried about placements/internships? Want to prepare for companies? Join ALPHA. Alpha 2.0 Placement Batch ...,2022-11-19,2022,40
KDZ_IXvpMG4,HashMap Implementation in Java | HashMap | Java with DSA,2022-11-07 15:33:59+00:00,Notes - https://drive.google.com/file/d/1A02kfELqSlb6Dymb8fCa3ap1XsfOB5Om/view?usp=share_link Are you worried about ...,2022-11-07,2022,56
Pt1KGG26RKU,What to do in College? 1st Year RoadMap,2022-08-31 16:34:57+00:00,"Are you worried about placements/internships? Want to prepare for companies like Microsoft, Amazon & Google? Join ALPHA.",2022-08-31,2022,39
_hC-upJ5aAE,3 Benefits of being a College Student | School Student,2022-08-05 15:08:18+00:00,shorts Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) ...,2022-08-05,2022,54
tTQFObPYa-w,Bahut Jageh Hai! | Alpha ❤️ | Not an Educational Video,2022-07-29 17:14:27+00:00,Alpha Placement Batch : https://www.apnacollege.in/course/placement-course-java Alpha Placement Batch Payment ...,2022-07-29,2022,54
4x7dVcCWkmI,Teaser | Launching Alpha🔥 : Tomorrow ❤️  | #shorts,2022-07-20 10:36:07+00:00,shorts Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) ...,2022-07-20,2022,50
2UZ_veozgS4,One thing you must practice in College!,2022-06-25 14:38:04+00:00,,2022-06-25,2022,39
BSGcQi2WNPg,What is Amazon Web Services? AWS Explained | Tutorial &amp; Resources,2022-06-18 14:41:30+00:00,Link to resources: 1. Start with AWS : https://go.aws/3n0mRMU 2. Set up account & environment : https://go.aws/3b9RGfc 3.,2022-06-18,2022,69
qAeitQWjNNg,Binary Search Trees | BST in One Video | Java Placement Course | Data Structures &amp; Algorithms,2022-05-28 13:30:14+00:00,Alpha Placement Batch - https://bit.ly/3oqidsd Guaranteed DSA Placement Sheet : https://bit.ly/DSASheet Java Placement ...,2022-05-28,2022,97
kE1sWLcoL60,How will 5G network change India?,2022-05-26 17:22:34+00:00,shorts Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) ...,2022-05-26,2022,33
RXk9tndVOAg,IPL Live Streaming | How does Online Video Streaming work?,2022-05-25 16:20:31+00:00,Alpha Placement Batch - https://bit.ly/3oqidsd Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement ...,2022-05-25,2022,58
3xC0F9bj9FU,How to build Strong Programming Logic? | College Placement &amp; Internships,2022-05-20 14:52:52+00:00,Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete ...,2022-05-20,2022,76
iELBsXEt2vc,What we CANNOT learn from Technology?,2022-05-18 15:23:59+00:00,shorts Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) ...,2022-05-18,2022,37
bR17XCHEGBI,Can computers create Art?,2022-05-16 16:00:53+00:00,shorts Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) ...,2022-05-16,2022,25
RB8hM6MG77U,Summer Vacation Plans for College Students,2022-05-14 16:33:41+00:00,Alpha Placement Batch - https://bit.ly/3oqidsd Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement ...,2022-05-14,2022,42
fYnO6NJdpWM,What is your Superpower?,2022-05-12 16:35:16+00:00,shorts Guaranteed Placement Sheet : https://bit.ly/DSASheet Java Placement Course(with DSA) ...,2022-05-12,2022,24
TU-13Dzv9pM,How to Prepare for Core Placements? | Step by Step | Resume Building,2022-05-10 16:53:34+00:00,Resources you can visit : Skill Lync : https://bit.ly/37EW9oJ Helpful blog by a senior : https://bit.ly/38gPLEJ Guaranteed ...,2022-05-10,2022,68
TU-13Dzv9pM,How to Prepare for Core Placements? | Step by Step | Resume Building,2022-05-10 16:53:34+00:00,Resources you can visit : Skill Lync : https://bit.ly/37EW9oJ Helpful blog by a senior : https://bit.ly/38gPLEJ Guaranteed ...,2022-05-10,2022,68
rFxlfWO7CWk,Biggest Startup Fraud,2022-05-07 04:37:56+00:00,,2022-05-07,2022,21
u6Xsayqxij0,Guaranteed Placement DSA Sheet | Tech Placement,2022-04-29 16:25:50+00:00,Alpha Placement Batch - https://bit.ly/3oqidsd DSA Sheet : https://bit.ly/DSAbyApnaCollege Meet us on Telegram: ...,2022-04-29,2022,47
KwDmdz7UIXg,Elon Musk v/s Twitter,2022-04-28 13:56:29+00:00,shorts Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete ...,2022-04-28,2022,21
AgyTHzjBS-c,How much Coding to learn for Placements? Data Structure &amp; Algorithms,2022-04-27 17:23:39+00:00,Alpha Placement Course - https://bit.ly/3oqidsd Complete List of 375 Questions that you should do for Placements ...,2022-04-27,2022,72
AgyTHzjBS-c,How much Coding to learn for Placements? Data Structure &amp; Algorithms,2022-04-27 17:23:39+00:00,Alpha Placement Course - https://bit.ly/3oqidsd Complete List of 375 Questions that you should do for Placements ...,2022-04-27,2022,72
jp9uVuD0J4c,Weirdest Programming Languages of the World,2022-04-23 04:51:57+00:00,shorts Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete ...,2022-04-23,2022,43
TpN9XEStbNQ,How to protect your eyes from Mobile/Laptop ?,2022-04-20 14:03:33+00:00,,2022-04-20,2022,45
WAjxrgYGs6g,Should you join a Startup in 2022?,2022-04-19 15:36:10+00:00,Download Hirect App : https://hirect.page.link/2VuL In this video I have explained in detail 3 possible reasons you should consider ...,2022-04-19,2022,34
WUc-HnOWmVQ,Top IT Companies that recruit Engineering Freshers,2022-04-18 16:20:24+00:00,shorts Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete ...,2022-04-18,2022,50
MkcfB7S4fq0,How to Start Web Development? Complete Roadmap for FullStack Developer | 2022,2022-04-16 15:16:43+00:00,You can join the NEW Web Development batch using the below link. Delta 3.0(Full Stack Web Development) ...,2022-04-16,2022,77
UbIhprsWYKI,Top NITs of India &amp; their Placements (2019-2020),2022-04-14 13:45:06+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-14,2022,52
UbIhprsWYKI,Top NITs of India &amp; their Placements (2019-2020),2022-04-14 13:45:06+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-14,2022,52
YL7bhSCb9gk,Why do you Procrastinate? 5 Steps to BEAT IT.,2022-04-11 15:33:48+00:00,Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with ...,2022-04-11,2022,45
SYQtz23NACQ,How to beat Laziness?,2022-04-10 16:18:45+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-10,2022,21
HYJZ0CYw3hk,3 Coding Languages for 2022,2022-04-09 14:02:05+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-09,2022,27
AjCJtT_qkKI,How to make money from Coding? 5 ways to earn without a job or degree,2022-04-08 18:14:14+00:00,Alpha Placement Batch - https://bit.ly/3oqidsd Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with ...,2022-04-08,2022,69
AjCJtT_qkKI,How to make money from Coding? 5 ways to earn without a job or degree,2022-04-08 18:14:14+00:00,Alpha Placement Batch - https://bit.ly/3oqidsd Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with ...,2022-04-08,2022,69
X-cdWlx7hQI,Why is Coding Important?,2022-04-07 14:32:01+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-07,2022,24
4HaeFkzfy20,Why Google was a mistake?,2022-04-05 15:50:35+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-05,2022,25
5-V0-y1iP3Q,React Native vs Flutter | Which one should you Learn in 2022 ?,2022-04-04 16:13:29+00:00,Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with ...,2022-04-04,2022,62
9lkQUS2bPCY,3 Best Websites for College Students,2022-04-03 14:08:44+00:00,shorts Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course : https://bit.ly/FullTutorialC Java Placement ...,2022-04-03,2022,36
kE5QWhrNjqY,Competitive Programming - How to Start? Complete Guide,2022-04-01 15:41:39+00:00,Alpha Placement Course - https://bit.ly/3oqidsd Telegram: https://t.me/+k4rdgTPwmm5kMGVl Complete C Course ...,2022-04-01,2022,54
hIiz8Km2tpo,5 Tricks of Google Search,2022-03-31 13:51:53+00:00,shorts Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete ...,2022-03-31,2022,25
uULy2rc6YDc,How to become a Blockchain Developer in 2022?  | 🔥 Complete Roadmap + Salary + Tech Stack,2022-03-30 15:37:57+00:00,Solidity Documentation : https://docs.soliditylang.org/en/v0.8.13/ Javascript Documentation ...,2022-03-30,2022,89
TEnks7wOBKs,How to make the Best Time Table? | Time Management for Students,2022-03-29 14:49:29+00:00,Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete C++ ...,2022-03-29,2022,63
HcOc7P5BMi4,HTML Tutorial for Beginners | Complete HTML with Notes &amp; Code,2022-03-22 15:30:08+00:00,Notes - https://drive.google.com/drive/folders/1wfNTKinBAV6CCxaI5lfSnnRFAYpy0uEl?usp=share_link You can join the NEW ...,2022-03-22,2022,65
aqja_mp_A9Q,Time is NOT Money,2022-03-20 15:15:20+00:00,shorts.,2022-03-20,2022,17
83BgsqvQzkQ,How to prepare for Offline College Exams? 5 Life Saving Tips,2022-03-14 16:16:47+00:00,Complete C Course : https://bit.ly/FullTutorialC Java Placement Course(with DSA) : https://bit.ly/JavaPlaylistComplete C++ ...,2022-03-14,2022,60
ZejKrRhE6qA,How to Increase Self Confidence?,2022-03-11 17:07:11+00:00,shorts.,2022-03-11,2022,32
ZejKrRhE6qA,How to Increase Self Confidence?,2022-03-11 17:07:11+00:00,shorts.,2022-03-11,2022,32
irqbmMNs2Bo,C Language Tutorial for Beginners (with Notes &amp; Practice Questions),2022-03-06 18:16:41+00:00,Want to study for Tech Placements/Internships from us : Our Latest Placement Batches : https://linktr.ee/apnacollege.in Share your ...,2022-03-06,2022,71
LVFQu_piWsE,Government or Private | What job to do?,2022-02-28 17:48:55+00:00,Java Placement Course : https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop ...,2022-02-28,2022,39
p_5TWTNOtUQ,How to Save Money in College?,2022-02-27 14:41:30+00:00,shorts.,2022-02-27,2022,29
pZdIiVDeAgU,3 Steps to ACHIEVE MORE in LESS TIME,2022-02-25 16:56:05+00:00,shorts.,2022-02-25,2022,36
sAlxN59cwXA,10 Career Options after BCA in 2022,2022-02-24 18:02:30+00:00,Java Placement Course : https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop ...,2022-02-24,2022,35
sAlxN59cwXA,10 Career Options after BCA in 2022,2022-02-24 18:02:30+00:00,Java Placement Course : https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop ...,2022-02-24,2022,35
hzdc6NIMdTY,3 Tips for taking Notes,2022-02-22 16:59:41+00:00,shorts.,2022-02-22,2022,23
GLEoU0FfTPw,One Lesson from Olympic Winners,2022-02-21 17:50:23+00:00,shorts.,2022-02-21,2022,31
zlZ_dupXxE0,How to Hack Password?,2022-02-19 16:57:49+00:00,"Are you worried about placements/internships? Want to prepare for companies like Microsoft, Amazon & Google? Join ALPHA.",2022-02-19,2022,21
nDXX6LIJx8A,Is Linux better than Windows?,2022-02-18 17:31:55+00:00,Java Placement Course : https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop ...,2022-02-18,2022,29
